Entity,Code,Year,Annual CO₂ emissions from coal (per capita)
Afghanistan,AFG,1949,0.0019921463
Afghanistan,AFG,1950,0.0027092993
Afghanistan,AFG,1951,0.0032550937
Afghanistan,AFG,1952,0.0039695613
Afghanistan,AFG,1953,0.0046869693
Afghanistan,AFG,1954,0.005178148
Afghanistan,AFG,1955,0.007480262
Afghanistan,AFG,1956,0.007367609
Afghanistan,AFG,1957,0.008959124
Afghanistan,AFG,1958,0.010500479
Afghanistan,AFG,1959,0.0123933535
Afghanistan,AFG,1960,0.014069101
Afghanistan,AFG,1961,0.019087305
Afghanistan,AFG,1962,0.031557962
Afghanistan,AFG,1963,0.02746715
Afghanistan,AFG,1964,0.030613236
Afghanistan,AFG,1965,0.0379689
Afghanistan,AFG,1966,0.04175642
Afghanistan,AFG,1967,0.03801423
Afghanistan,AFG,1968,0.030903723
Afghanistan,AFG,1969,0.03292387
Afghanistan,AFG,1970,0.038704056
Afghanistan,AFG,1971,0.03104099
Afghanistan,AFG,1972,0.016073296
Afghanistan,AFG,1973,0.02555889
Afghanistan,AFG,1974,0.024435952
Afghanistan,AFG,1975,0.031211058
Afghanistan,AFG,1976,0.032544296
Afghanistan,AFG,1977,0.033781588
Afghanistan,AFG,1978,0.042333934
Afghanistan,AFG,1979,0.02575827
Afghanistan,AFG,1980,0.023977105
Afghanistan,AFG,1981,0.027930604
Afghanistan,AFG,1982,0.035001975
Afghanistan,AFG,1983,0.03523727
Afghanistan,AFG,1984,0.03508027
Afghanistan,AFG,1985,0.03498723
Afghanistan,AFG,1986,0.03721727
Afghanistan,AFG,1987,0.03888575
Afghanistan,AFG,1988,0.03179645
Afghanistan,AFG,1989,0.028388536
Afghanistan,AFG,1990,0.023117363
Afghanistan,AFG,1991,0.02039623
Afghanistan,AFG,1992,0.0016555485
Afghanistan,AFG,1993,0.0012259778
Afghanistan,AFG,1994,0.0009041401
Afghanistan,AFG,1995,0.00085879175
Afghanistan,AFG,1996,0.00041253676
Afghanistan,AFG,1997,0.00019856819
Afghanistan,AFG,1998,0.00019123177
Afghanistan,AFG,1999,0.00018423362
Afghanistan,AFG,2000,0.00018201387
Afghanistan,AFG,2001,0.0034320133
Afghanistan,AFG,2002,0.0025708524
Afghanistan,AFG,2003,0.004029375
Afghanistan,AFG,2004,0.0038878375
Afghanistan,AFG,2005,0.0043539377
Afghanistan,AFG,2006,0.0063303714
Afghanistan,AFG,2007,0.028848331
Afghanistan,AFG,2008,0.04067632
Afghanistan,AFG,2009,0.05509453
Afghanistan,AFG,2010,0.07940974
Afghanistan,AFG,2011,0.12776044
Afghanistan,AFG,2012,0.092319265
Afghanistan,AFG,2013,0.093928635
Afghanistan,AFG,2014,0.098771766
Afghanistan,AFG,2015,0.07209999
Afghanistan,AFG,2016,0.06976441
Afghanistan,AFG,2017,0.08107329
Afghanistan,AFG,2018,0.087653495
Afghanistan,AFG,2019,0.08646173
Afghanistan,AFG,2020,0.09303258
Afghanistan,AFG,2021,0.07483643
Afghanistan,AFG,2022,0.08595927
Afghanistan,AFG,2023,0.09327464
Afghanistan,AFG,2024,0.09131618
Africa,OWID_AFR,1884,0.00016810493
Africa,OWID_AFR,1885,0.00027865346
Africa,OWID_AFR,1886,0.00036027696
Africa,OWID_AFR,1887,0.00035830968
Africa,OWID_AFR,1888,0.00060305005
Africa,OWID_AFR,1889,0.0009820405
Africa,OWID_AFR,1890,0.0022003131
Africa,OWID_AFR,1891,0.0021923848
Africa,OWID_AFR,1892,0.0035353242
Africa,OWID_AFR,1893,0.013219625
Africa,OWID_AFR,1894,0.017834708
Africa,OWID_AFR,1895,0.024409406
Africa,OWID_AFR,1896,0.031057494
Africa,OWID_AFR,1897,0.034764815
Africa,OWID_AFR,1898,0.043902785
Africa,OWID_AFR,1899,0.039936516
Africa,OWID_AFR,1900,0.016815761
Africa,OWID_AFR,1901,0.028121473
Africa,OWID_AFR,1902,0.04176499
Africa,OWID_AFR,1903,0.056402333
Africa,OWID_AFR,1904,0.06341765
Africa,OWID_AFR,1905,0.07276437
Africa,OWID_AFR,1906,0.08275714
Africa,OWID_AFR,1907,0.0909625
Africa,OWID_AFR,1908,0.09390756
Africa,OWID_AFR,1909,0.10735923
Africa,OWID_AFR,1910,0.12100435
Africa,OWID_AFR,1911,0.11665492
Africa,OWID_AFR,1912,0.12317982
Africa,OWID_AFR,1913,0.13432744
Africa,OWID_AFR,1914,0.1315729
Africa,OWID_AFR,1915,0.13287483
Africa,OWID_AFR,1916,0.15644318
Africa,OWID_AFR,1917,0.16825138
Africa,OWID_AFR,1918,0.16041791
Africa,OWID_AFR,1919,0.16547768
Africa,OWID_AFR,1920,0.18311934
Africa,OWID_AFR,1921,0.18035407
Africa,OWID_AFR,1922,0.15248175
Africa,OWID_AFR,1923,0.18363054
Africa,OWID_AFR,1924,0.19124873
Africa,OWID_AFR,1925,0.19829196
Africa,OWID_AFR,1926,0.20996568
Africa,OWID_AFR,1927,0.20349817
Africa,OWID_AFR,1928,0.20427981
Africa,OWID_AFR,1929,0.20636833
Africa,OWID_AFR,1930,0.19180816
Africa,OWID_AFR,1931,0.16469581
Africa,OWID_AFR,1932,0.14567503
Africa,OWID_AFR,1933,0.15482448
Africa,OWID_AFR,1934,0.17546919
Africa,OWID_AFR,1935,0.1921689
Africa,OWID_AFR,1936,0.20624281
Africa,OWID_AFR,1937,0.21882208
Africa,OWID_AFR,1938,0.22657107
Africa,OWID_AFR,1939,0.23089063
Africa,OWID_AFR,1940,0.23844627
Africa,OWID_AFR,1941,0.25232804
Africa,OWID_AFR,1942,0.27291793
Africa,OWID_AFR,1943,0.27320227
Africa,OWID_AFR,1944,0.29871535
Africa,OWID_AFR,1945,0.29842058
Africa,OWID_AFR,1946,0.29663548
Africa,OWID_AFR,1947,0.28946483
Africa,OWID_AFR,1948,0.29368797
Africa,OWID_AFR,1949,0.3075338
Africa,OWID_AFR,1950,0.3027164
Africa,OWID_AFR,1951,0.31290087
Africa,OWID_AFR,1952,0.33439985
Africa,OWID_AFR,1953,0.32607892
Africa,OWID_AFR,1954,0.33007395
Africa,OWID_AFR,1955,0.36204374
Africa,OWID_AFR,1956,0.36916834
