Entity,Code,Year,Annual CO₂ emissions from gas (per capita)
Afghanistan,AFG,1949,0
Afghanistan,AFG,1950,0
Afghanistan,AFG,1951,0
Afghanistan,AFG,1952,0
Afghanistan,AFG,1953,0
Afghanistan,AFG,1954,0
Afghanistan,AFG,1955,0
Afghanistan,AFG,1956,0
Afghanistan,AFG,1957,0
Afghanistan,AFG,1958,0
Afghanistan,AFG,1959,0
Afghanistan,AFG,1960,0
Afghanistan,AFG,1961,0
Afghanistan,AFG,1962,0
Afghanistan,AFG,1963,0
Afghanistan,AFG,1964,0
Afghanistan,AFG,1965,0
Afghanistan,AFG,1966,0
Afghanistan,AFG,1967,0.024761561
Afghanistan,AFG,1968,0.032262105
Afghanistan,AFG,1969,0
Afghanistan,AFG,1970,0.01918941
Afghanistan,AFG,1971,0.038009375
Afghanistan,AFG,1972,0.025346352
Afghanistan,AFG,1973,0.027363053
Afghanistan,AFG,1974,0.032090537
Afghanistan,AFG,1975,0.037224147
Afghanistan,AFG,1976,0.023005452
Afghanistan,AFG,1977,0.03845059
Afghanistan,AFG,1978,0.022110732
Afghanistan,AFG,1979,0.02817311
Afghanistan,AFG,1980,0.014218965
Afghanistan,AFG,1981,0.025475167
Afghanistan,AFG,1982,0.036002032
Afghanistan,AFG,1983,0.056379635
Afghanistan,AFG,1984,0.08327475
Afghanistan,AFG,1985,0.10431969
Afghanistan,AFG,1986,0.10523505
Afghanistan,AFG,1987,0.034386557
Afghanistan,AFG,1988,0.03815574
Afghanistan,AFG,1989,0.040422805
Afghanistan,AFG,1990,0.033459343
Afghanistan,AFG,1991,0.03179417
Afghanistan,AFG,1992,0.02731655
Afghanistan,AFG,1993,0.023538772
Afghanistan,AFG,1994,0.020794977
Afghanistan,AFG,1995,0.018893419
Afghanistan,AFG,1996,0.017326543
Afghanistan,AFG,1997,0.01528975
Afghanistan,AFG,1998,0.013768688
Afghanistan,AFG,1999,0.012159419
Afghanistan,AFG,2000,0.011102846
Afghanistan,AFG,2001,0.01029604
Afghanistan,AFG,2002,0.025537135
Afghanistan,AFG,2003,0.020469226
Afghanistan,AFG,2004,0.009641836
Afghanistan,AFG,2005,0.01351222
Afghanistan,AFG,2006,0.012948502
Afghanistan,AFG,2007,0.011878725
Afghanistan,AFG,2008,0.011206741
Afghanistan,AFG,2009,0.009871659
Afghanistan,AFG,2010,0.0095861675
Afghanistan,AFG,2011,0.010490598
Afghanistan,AFG,2012,0.010071192
Afghanistan,AFG,2013,0.009381296
Afghanistan,AFG,2014,0.008268225
Afghanistan,AFG,2015,0.008335893
Afghanistan,AFG,2016,0.009182316
Afghanistan,AFG,2017,0.008415212
Afghanistan,AFG,2018,0.007977565
Afghanistan,AFG,2019,0.0064870613
Afghanistan,AFG,2020,0.00393888
Afghanistan,AFG,2021,0.0039387597
Afghanistan,AFG,2022,0.0035156002
Afghanistan,AFG,2023,0.0034104404
Afghanistan,AFG,2024,0.0029571017
Africa,OWID_AFR,1884,0
Africa,OWID_AFR,1885,0
Africa,OWID_AFR,1886,0
Africa,OWID_AFR,1887,0
Africa,OWID_AFR,1888,0
Africa,OWID_AFR,1889,0
Africa,OWID_AFR,1890,0
Africa,OWID_AFR,1891,0
Africa,OWID_AFR,1892,0
Africa,OWID_AFR,1893,0
Africa,OWID_AFR,1894,0
Africa,OWID_AFR,1895,0
Africa,OWID_AFR,1896,0
Africa,OWID_AFR,1897,0
Africa,OWID_AFR,1898,0
Africa,OWID_AFR,1899,0
Africa,OWID_AFR,1900,0
Africa,OWID_AFR,1901,0
Africa,OWID_AFR,1902,0
Africa,OWID_AFR,1903,0
Africa,OWID_AFR,1904,0
Africa,OWID_AFR,1905,0
Africa,OWID_AFR,1906,0
Africa,OWID_AFR,1907,0
Africa,OWID_AFR,1908,0
Africa,OWID_AFR,1909,0
Africa,OWID_AFR,1910,0
Africa,OWID_AFR,1911,0
Africa,OWID_AFR,1912,0
Africa,OWID_AFR,1913,0
Africa,OWID_AFR,1914,0
Africa,OWID_AFR,1915,0
Africa,OWID_AFR,1916,0
Africa,OWID_AFR,1917,0
Africa,OWID_AFR,1918,0
Africa,OWID_AFR,1919,0
Africa,OWID_AFR,1920,0
Africa,OWID_AFR,1921,0
Africa,OWID_AFR,1922,0
Africa,OWID_AFR,1923,0
Africa,OWID_AFR,1924,0
Africa,OWID_AFR,1925,0
Africa,OWID_AFR,1926,0
Africa,OWID_AFR,1927,0
Africa,OWID_AFR,1928,0
Africa,OWID_AFR,1929,0
Africa,OWID_AFR,1930,0
Africa,OWID_AFR,1931,0
Africa,OWID_AFR,1932,0
Africa,OWID_AFR,1933,0
Africa,OWID_AFR,1934,0
Africa,OWID_AFR,1935,0
Africa,OWID_AFR,1936,0
Africa,OWID_AFR,1937,0
Africa,OWID_AFR,1938,0
Africa,OWID_AFR,1939,0.0005773661
Africa,OWID_AFR,1940,0.00047441357
Africa,OWID_AFR,1941,0.0005048805
Africa,OWID_AFR,1942,0.00053401553
Africa,OWID_AFR,1943,0.00057991367
Africa,OWID_AFR,1944,0.0006373426
Africa,OWID_AFR,1945,0.00064934546
Africa,OWID_AFR,1946,0.0006358944
Africa,OWID_AFR,1947,0.00062873145
Africa,OWID_AFR,1948,0.00063246477
Africa,OWID_AFR,1949,0.0006268843
Africa,OWID_AFR,1950,0.000016105914
Africa,OWID_AFR,1951,0.000015775175
Africa,OWID_AFR,1952,0.00003088923
Africa,OWID_AFR,1953,0.000060469956
Africa,OWID_AFR,1954,0.00008883777
Africa,OWID_AFR,1955,0.000086826454
Africa,OWID_AFR,1956,0.00011315308
Africa,OWID_AFR,1957,0.000083000356
Africa,OWID_AFR,1958,0.000067565365
Africa,OWID_AFR,1959,0.00012464989
Africa,OWID_AFR,1960,0.00016672288
Africa,OWID_AFR,1961,0.0017150276
Africa,OWID_AFR,1962,0.0024863929
Africa,OWID_AFR,1963,0.0023552673
Africa,OWID_AFR,1964,0.004642005
Africa,OWID_AFR,1965,0.006622455
Africa,OWID_AFR,1966,0.007178927
Africa,OWID_AFR,1967,0.006874931
Africa,OWID_AFR,1968,0.0068297703
Africa,OWID_AFR,1969,0.008132825
Africa,OWID_AFR,1970,0.0022375956
Africa,OWID_AFR,1971,0.0045181047
Africa,OWID_AFR,1972,0.011476995
Africa,OWID_AFR,1973,0.013567146
Africa,OWID_AFR,1974,0.01258457
Africa,OWID_AFR,1975,0.0153755825
Africa,OWID_AFR,1976,0.02067468
Africa,OWID_AFR,1977,0.03093374
Africa,OWID_AFR,1978,0.07572227
Africa,OWID_AFR,1979,0.041968647
Africa,OWID_AFR,1980,0.07182036
Africa,OWID_AFR,1981,0.059188236
Africa,OWID_AFR,1982,0.04684131
Africa,OWID_AFR,1983,0.057714306
Africa,OWID_AFR,1984,0.08766866
Africa,OWID_AFR,1985,0.087447494
Africa,OWID_AFR,1986,0.101511896
Africa,OWID_AFR,1987,0.11474868
Africa,OWID_AFR,1988,0.11336296
Africa,OWID_AFR,1989,0.114211015
Africa,OWID_AFR,1990,0.11820427
Africa,OWID_AFR,1991,0.11891195
Africa,OWID_AFR,1992,0.10966108
Africa,OWID_AFR,1993,0.11753216
Africa,OWID_AFR,1994,0.12001234
Africa,OWID_AFR,1995,0.13886009
Africa,OWID_AFR,1996,0.14400385
Africa,OWID_AFR,1997,0.123806
Africa,OWID_AFR,1998,0.1429383
Africa,OWID_AFR,1999,0.14145564
Africa,OWID_AFR,2000,0.13793086
Africa,OWID_AFR,2001,0.14130802
Africa,OWID_AFR,2002,0.15411597
Africa,OWID_AFR,2003,0.16305427
Africa,OWID_AFR,2004,0.16649656
Africa,OWID_AFR,2005,0.1950622
Africa,OWID_AFR,2006,0.18260899
Africa,OWID_AFR,2007,0.19203648
Africa,OWID_AFR,2008,0.18970667
Africa,OWID_AFR,2009,0.18382609
Africa,OWID_AFR,2010,0.18863839
Africa,OWID_AFR,2011,0.20036003
Africa,OWID_AFR,2012,0.21410379
Africa,OWID_AFR,2013,0.21130845
Africa,OWID_AFR,2014,0.20783192
Africa,OWID_AFR,2015,0.21379045
